"","F2","F6","F9","F11","F20","F26","F27","F28","F31","F33","F127","F201","F202"
"1","Рыбинский район",2016-01-02,0,"Сельский населенный пункт","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"2","Рыбинский район",2016-01-04,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"3","Рыбинский район",2016-01-09,0,"Сельский населенный пункт","Полосы отчуждения и обочины дорог, луга, пустыри (в т.ч. мусор, сухая трава и др.)","Не указана","На пустыре","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"4","Рыбинский район",2016-01-09,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"5","Рыбинский район",2016-01-12,0,"Сельский населенный пункт","Легковой автомобиль","IV","Отсек двигателя","Код конструкции не указан","Изоляционные материалы токоведущих частей","Неисправность электрооборудования транспортного средства",0,1,0
"6","Рыбинский район",2016-01-13,0,"Сельский населенный пункт","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"7","Рыбинский район",2016-01-13,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На территории домовладения","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"8","Рыбинский район",2016-01-15,0,"Город","Многоквартирный жилой дом","V","Веранда, терраса, тамбур","Стена, перегородка","Деревянные, бумажные изделия, материалы","Недостаток конструкции и изготовления электрооборудования",0,1,0
"9","Рыбинский район",2016-01-15,0,"Город","Площадка для мусора, мусор на территории жилой зоны","Не указана","На контейнерной площадке","Код конструкции не указан","Материал не указан","Причина не указана",0,0,1
"10","Курагинский район",2016-01-02,1,"Населенный пункт городского типа","Одноквартирный жилой дом","V","Кухня","Пол","Деревянные, бумажные изделия, материалы","Прочие причины, связанные с неосторожным обращением с огнем",87,1,0
"11","Курагинский район",2016-01-03,0,"Населенный пункт городского типа","Специальная техника","Отсутствует","Отсек двигателя","Не установлена","ГЖ","Неисправность систем, механизмов и узлов транспортного средства",0,1,0
"12","Курагинский район",2016-01-04,0,"Населенный пункт городского типа","Одноквартирный жилой дом","V","Подсобные и вспомогательные производственные помещения","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
"13","Курагинский район",2016-01-05,2,"Сельский населенный пункт","Одноквартирный жилой дом","V","Кухня","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",74,1,0
"14","Курагинский район",2016-01-06,0,"Населенный пункт городского типа","Надворная постройка","V","Подсобное помещение","Стена, перегородка","Деревянные, бумажные изделия, материалы","Неправильное устройство или неисправность печи",0,1,0
